Section,Phrase,Intent,Tags,Notes
Section 4: Mindset Rating,Just couldn’t think straight,Mindset.Scattered,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,"Stayed steady, but not super focused",Mindset.Neutral,,
Section 4: Mindset Rating,Mentally all over the place,Mindset.Scattered,,
Section 4: Mindset Rating,Every shot had full attention,Mindset.PeakFocus,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,"I was okay, not sharp though",Mindset.Neutral,,
Section 4: Mindset Rating,Mentally all over the place,Mindset.Scattered,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,My mind was locked onto the target,Mindset.PeakFocus,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,Kept my cool all day,Mindset.CalmControl,,
Section 4: Mindset Rating,Felt calm and composed,Mindset.CalmControl,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Mentally razor sharp,Mindset.PeakFocus,,
Section 4: Mindset Rating,Nothing distracted me,Mindset.PeakFocus,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Pressure really got to me,Mindset.Scattered,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,"Some good, some bad",Mindset.Neutral,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,Just coasted through mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Felt kind of flat mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,Laser focus from start to finish,Mindset.PeakFocus,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Stayed emotionally level,Mindset.CalmControl,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Every shot had full attention,Mindset.PeakFocus,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Didn’t let anything rattle me,Mindset.CalmControl,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mind was bouncing around,Mindset.Distracted,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Mind was bouncing around,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Brain was scrambled,Mindset.Scattered,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally all over the place,Mindset.Scattered,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Stayed emotionally level,Mindset.CalmControl,,
Section 4: Mindset Rating,I got rattled a few times,Mindset.Distracted,,
Section 4: Mindset Rating,Overthought too many shots,Mindset.Distracted,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,My mind was locked onto the target,Mindset.PeakFocus,,
Section 4: Mindset Rating,Let the conditions mess with my mind,Mindset.Distracted,,
Section 4: Mindset Rating,I got rattled a few times,Mindset.Distracted,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt kind of flat mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Brain was scrambled,Mindset.Scattered,,
Section 4: Mindset Rating,Nothing distracted me,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mind was bouncing around,Mindset.Distracted,,
Section 4: Mindset Rating,Nothing distracted me,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Concentration was on point,Mindset.PeakFocus,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Handled pressure really well,Mindset.CalmControl,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Felt kind of flat mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Struggled to stay focused,Mindset.Distracted,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Pressure really got to me,Mindset.Scattered,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,Kept my cool all day,Mindset.CalmControl,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,"Some good, some bad",Mindset.Neutral,,
Section 4: Mindset Rating,I got rattled a few times,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,Overthought too many shots,Mindset.Distracted,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,Everything felt chaotic,Mindset.Scattered,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,Wasn’t totally present,Mindset.Distracted,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,"Some good, some bad",Mindset.Neutral,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mind was bouncing around,Mindset.Distracted,,
Section 4: Mindset Rating,My mind was locked onto the target,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mind was bouncing around,Mindset.Distracted,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Just couldn’t think straight,Mindset.Scattered,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,Nothing distracted me,Mindset.PeakFocus,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,Managed my thoughts and feelings,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,Pressure really got to me,Mindset.Scattered,,
Section 4: Mindset Rating,Everything felt chaotic,Mindset.Scattered,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,Just couldn’t think straight,Mindset.Scattered,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,"Stayed steady, but not super focused",Mindset.Neutral,,
Section 4: Mindset Rating,Nothing distracted me,Mindset.PeakFocus,,
Section 4: Mindset Rating,Didn’t let anything rattle me,Mindset.CalmControl,,
Section 4: Mindset Rating,"I was okay, not sharp though",Mindset.Neutral,,
Section 4: Mindset Rating,Felt calm and composed,Mindset.CalmControl,,
Section 4: Mindset Rating,Felt kind of flat mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Everything felt chaotic,Mindset.Scattered,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,"I was okay, not sharp though",Mindset.Neutral,,
Section 4: Mindset Rating,Brain was scrambled,Mindset.Scattered,,
Section 4: Mindset Rating,Let the conditions mess with my mind,Mindset.Distracted,,
Section 4: Mindset Rating,"Stayed steady, but not super focused",Mindset.Neutral,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,Struggled to stay focused,Mindset.Distracted,,
Section 4: Mindset Rating,"Some good, some bad",Mindset.Neutral,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,Every shot had full attention,Mindset.PeakFocus,,
Section 4: Mindset Rating,Every shot had full attention,Mindset.PeakFocus,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,My mind was locked onto the target,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Managed my thoughts and feelings,Mindset.CalmControl,,
Section 4: Mindset Rating,Brain was scrambled,Mindset.Scattered,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Just couldn’t think straight,Mindset.Scattered,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Handled pressure really well,Mindset.CalmControl,,
Section 4: Mindset Rating,Wasn’t totally present,Mindset.Distracted,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,Pressure really got to me,Mindset.Scattered,,
Section 4: Mindset Rating,Felt calm and composed,Mindset.CalmControl,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Wasn’t totally present,Mindset.Distracted,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,"Stayed steady, but not super focused",Mindset.Neutral,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Laser focus from start to finish,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mentally all over the place,Mindset.Scattered,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Just couldn’t think straight,Mindset.Scattered,,
Section 4: Mindset Rating,Overthought too many shots,Mindset.Distracted,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,"Stayed steady, but not super focused",Mindset.Neutral,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,Nothing distracted me,Mindset.PeakFocus,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept my cool all day,Mindset.CalmControl,,
Section 4: Mindset Rating,Mentally alright — nothing to write home about,Mindset.Neutral,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,I got rattled a few times,Mindset.Distracted,,
Section 4: Mindset Rating,Struggled to stay focused,Mindset.Distracted,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Didn’t let anything rattle me,Mindset.CalmControl,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Laser focus from start to finish,Mindset.PeakFocus,,
Section 4: Mindset Rating,"I was okay, not sharp though",Mindset.Neutral,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,Managed my thoughts and feelings,Mindset.CalmControl,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Everything felt chaotic,Mindset.Scattered,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Mind was bouncing around,Mindset.Distracted,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Let the conditions mess with my mind,Mindset.Distracted,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Let the conditions mess with my mind,Mindset.Distracted,,
Section 4: Mindset Rating,Kept my cool all day,Mindset.CalmControl,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Laser focus from start to finish,Mindset.PeakFocus,,
Section 4: Mindset Rating,Middle of the road focus,Mindset.Neutral,,
Section 4: Mindset Rating,Just average focus,Mindset.Neutral,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Handled pressure really well,Mindset.CalmControl,,
Section 4: Mindset Rating,Handled pressure really well,Mindset.CalmControl,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept my cool all day,Mindset.CalmControl,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Felt kind of flat mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Mentally razor sharp,Mindset.PeakFocus,,
Section 4: Mindset Rating,Struggled to stay focused,Mindset.Distracted,,
Section 4: Mindset Rating,Concentration was on point,Mindset.PeakFocus,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,Just coasted through mentally,Mindset.Neutral,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Everything felt chaotic,Mindset.Scattered,,
Section 4: Mindset Rating,"I was okay, not sharp though",Mindset.Neutral,,
Section 4: Mindset Rating,My mind was locked onto the target,Mindset.PeakFocus,,
Section 4: Mindset Rating,Concentration was on point,Mindset.PeakFocus,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Totally lost focus,Mindset.Scattered,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Pressure really got to me,Mindset.Scattered,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Mind was racing,Mindset.Scattered,,
Section 4: Mindset Rating,Overthought too many shots,Mindset.Distracted,,
Section 4: Mindset Rating,Relaxed but focused,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Kept my cool all day,Mindset.CalmControl,,
Section 4: Mindset Rating,"Didn’t lose it, didn’t own it",Mindset.Neutral,,
Section 4: Mindset Rating,Brain was scrambled,Mindset.Scattered,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,Managed my thoughts and feelings,Mindset.CalmControl,,
Section 4: Mindset Rating,Overthought too many shots,Mindset.Distracted,,
Section 4: Mindset Rating,My mind was locked onto the target,Mindset.PeakFocus,,
Section 4: Mindset Rating,Just coasted through mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Unsettled energy all day,Mindset.Distracted,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt calm and composed,Mindset.CalmControl,,
Section 4: Mindset Rating,I was totally locked in,Mindset.PeakFocus,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Stayed emotionally level,Mindset.CalmControl,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Just coasted through mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Let stuff get in my head,Mindset.Distracted,,
Section 4: Mindset Rating,Wasn’t calm on the course,Mindset.Distracted,,
Section 4: Mindset Rating,Concentration was on point,Mindset.PeakFocus,,
Section 4: Mindset Rating,Struggled to stay focused,Mindset.Distracted,,
Section 4: Mindset Rating,I was in the zone,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt dialed in all round,Mindset.PeakFocus,,
Section 4: Mindset Rating,Super focused today,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,Handled pressure really well,Mindset.CalmControl,,
Section 4: Mindset Rating,Concentration was on point,Mindset.PeakFocus,,
Section 4: Mindset Rating,Mentally razor sharp,Mindset.PeakFocus,,
Section 4: Mindset Rating,Every shot had full attention,Mindset.PeakFocus,,
Section 4: Mindset Rating,Pressure really got to me,Mindset.Scattered,,
Section 4: Mindset Rating,Mentally razor sharp,Mindset.PeakFocus,,
Section 4: Mindset Rating,"No panic, just flow",Mindset.CalmControl,,
Section 4: Mindset Rating,Every shot had full attention,Mindset.PeakFocus,,
Section 4: Mindset Rating,Felt overwhelmed the whole round,Mindset.Scattered,,
Section 4: Mindset Rating,"I was okay, not sharp though",Mindset.Neutral,,
Section 4: Mindset Rating,Kept thinking about past shots,Mindset.Distracted,,
Section 4: Mindset Rating,Couldn’t calm my mind,Mindset.Scattered,,
Section 4: Mindset Rating,Mentally razor sharp,Mindset.PeakFocus,,
Section 4: Mindset Rating,Nothing special mentally today,Mindset.Neutral,,
Section 4: Mindset Rating,Everything felt chaotic,Mindset.Scattered,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Mentally steady most of the round,Mindset.CalmControl,,
Section 4: Mindset Rating,I stayed in control out there,Mindset.CalmControl,,
Section 4: Mindset Rating,Kept spiraling after bad shots,Mindset.Scattered,,
Section 4: Mindset Rating,Felt kind of flat mentally,Mindset.Neutral,,
Section 4: Mindset Rating,Just couldn’t think straight,Mindset.Scattered,,
