Section;Phrase;Intent;Tags;Notes
Non-Golf Handling;So, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today? for me;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Now What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey, What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Uhm, What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Well What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? right now;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Hey there, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Please What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? quickly;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Ok, What’s the weather today? if you can;Reject.NonGolf;;Unrelated question
Non-Golf Handling;What’s the weather today?;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? please;Reject.NonGolf;;Unrelated question
Non-Golf Handling;So, What’s the weather today? again;Reject.NonGolf;;Unrelated question
Non-Golf Handling;Can you What’s the weather today? for me;Reject.NonGolf;;Unrelated question
